TITULO;PRECIO;ENVIO;ESTADO;CALIFICACION;LINK
Celular: Samsung Galaxy A12;70.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1185975092-celular-samsung-galaxy-a12-_JM#position=27&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular: Samsung Galaxy A12;70.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1185975092-celular-samsung-galaxy-a12-_JM#position=27&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung A12 Negro ;75.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1345302664-samsung-a12-negro-_JM#position=31&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung A12 Negro ;75.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1345302664-samsung-a12-negro-_JM#position=31&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung Galaxy A12 128gb 6gb Ram Negro Refabricado ;79.999;Sin envio gratuito;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1232773012-celular-samsung-galaxy-a12-128gb-6gb-ram-negro-refabricado-_JM#position=7&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12 128gb 6gb Ram Liberado Refabricado Negro ;79.999;Sin envio gratuito;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1232741332-samsung-galaxy-a12-128gb-6gb-ram-liberado-refabricado-negro-_JM#position=9&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12 Sm-a125 128gb Negro Refabricado;79.999;Sin envio gratuito;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1232543076-samsung-galaxy-a12-sm-a125-128gb-negro-refabricado-_JM#position=16&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung Galaxy A12 Sm-a125 64gb 4gb Ram Refabricado;79.999;Sin envio gratuito;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1143985575-celular-samsung-galaxy-a12-sm-a125-64gb-4gb-ram-refabricado-_JM#position=19&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung Galaxy A12 128gb 6gb Ram Negro Refabricado ;79.999;Sin envio gratuito;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1232773012-celular-samsung-galaxy-a12-128gb-6gb-ram-negro-refabricado-_JM#position=7&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12 128gb 6gb Ram Liberado Refabricado Negro ;79.999;Sin envio gratuito;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1232741332-samsung-galaxy-a12-128gb-6gb-ram-liberado-refabricado-negro-_JM#position=9&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12 Sm-a125 128gb Negro Refabricado;79.999;Sin envio gratuito;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1232543076-samsung-galaxy-a12-sm-a125-128gb-negro-refabricado-_JM#position=16&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung Galaxy A12 Sm-a125 64gb 4gb Ram Refabricado;79.999;Sin envio gratuito;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1143985575-celular-samsung-galaxy-a12-sm-a125-64gb-4gb-ram-refabricado-_JM#position=19&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12 64 GB  azul 4 GB RAM;89.999;Sin envio gratuito;Nuevo;4712;https://www.mercadolibre.com.ar/samsung-galaxy-a12-64-gb-azul-4-gb-ram/p/MLA17415925?pdp_filters=category:MLA1055#searchVariation=MLA17415925&position=1&search_layout=stack&type=product&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12 64 GB  azul 4 GB RAM;89.999;Sin envio gratuito;Nuevo;4712;https://www.mercadolibre.com.ar/samsung-galaxy-a12-64-gb-azul-4-gb-ram/p/MLA17415925?pdp_filters=category:MLA1055#searchVariation=MLA17415925&position=1&search_layout=stack&type=product&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
